# t_rel rawcounts delta velocity arc_volts torch_on arc_ok
0.006 146748 0 3131.524 0 FALSE NA
0.109 147055 307 3128.259 0 FALSE NA
0.203 147358 303 3128.259 0 FALSE NA
0.304 147665 307 3125 0 FALSE NA
0.400 147968 303 3128.259 0 FALSE NA
0.499 148278 310 3128.259 0 FALSE NA
0.596 148581 303 3128.259 0 FALSE NA
0.691 148882 301 3134.796 0 FALSE NA
0.787 149185 303 3128.259 0 FALSE NA
0.887 149489 304 3131.524 0 FALSE NA
0.984 149802 313 3127.443 0 FALSE NA
1.084 150108 306 3125 0 FALSE NA
1.179 150402 294 3128.259 0 FALSE NA
1.275 150706 304 3128.259 0 FALSE NA
1.371 151003 297 3128.259 0 FALSE NA
1.464 151297 294 3125 0 FALSE NA
1.560 151594 297 3128.259 0 FALSE NA
1.656 151901 307 3128.259 0 FALSE NA
1.751 152192 291 3128.259 0 FALSE NA
1.846 152489 297 3125 0 FALSE NA
1.943 152795 306 3121.748 0 FALSE NA
2.037 153086 291 3128.259 0 FALSE NA
2.131 153383 297 3128.259 0 FALSE NA
2.227 153690 307 3128.259 0 FALSE NA
2.328 154000 310 3128.259 0 FALSE NA
2.425 154300 300 3121.748 0 FALSE NA
2.519 154607 307 3121.748 0 FALSE NA
2.623 154916 309 3128.259 0 FALSE NA
2.718 155220 304 3128.259 0 FALSE NA
2.812 155514 294 3131.524 0 FALSE NA
2.915 155877 363 3128.259 0 FALSE NA
3.023 156171 294 3128.259 0 FALSE NA
3.117 156465 294 3128.259 0 FALSE NA
3.212 156762 297 3128.259 0 FALSE NA
3.312 157075 313 3128.259 0 FALSE NA
3.408 157372 297 3125 0 FALSE NA
3.506 157741 369 3121.748 0 FALSE NA
3.634 158082 341 3131.524 0 FALSE NA
3.729 158376 294 3128.259 0 FALSE NA
3.824 158680 304 3121.748 0 FALSE NA
3.920 158984 304 3129.89 0 FALSE NA
4.019 159287 303 3128.259 0 FALSE NA
4.112 159584 297 3131.524 0 FALSE NA
4.209 159881 297 3128.259 0 FALSE NA
4.305 160182 301 3121.748 0 FALSE NA
4.405 160513 331 3128.259 0 FALSE NA
4.511 160854 341 3128.259 0 FALSE NA
4.621 161195 341 3128.259 0 FALSE NA
4.740 161558 363 3125 0 FALSE NA
4.855 161956 398 3127.443 0 FALSE NA
4.990 162375 419 3121.748 0 FALSE NA
5.115 162804 429 3129.89 0 FALSE NA
5.255 163207 403 3128.259 0 FALSE NA
5.395 163614 407 3128.259 0 FALSE NA
