# t_rel rawcounts delta velocity arc_volts torch_on arc_ok
12.673 262381 345 3125 0 ==> <==
12.790 262768 387 3128.259 0 ==> <==
12.912 263106 338 3128.259 0 ==> <==
13.016 263425 319 3128.259 0 ==> <==
13.109 263716 291 3131.524 0 ==> <==
13.205 264010 294 3128.259 0 ==> <==
13.299 264320 310 3125 0 ==> <==
13.407 264655 335 3128.259 0 ==> <==
13.520 264990 335 3131.524 0 ==> <==
13.620 265346 356 3134.796 0 ==> <==
13.737 265700 354 3125 0 ==> <==
13.848 266035 335 3134.796 0 ==> <==
13.951 266369 334 3128.259 0 ==> <==
14.057 266695 326 3120.125 0 ==> <==
14.171 267086 391 3128.259 0 ==> <==
14.285 267424 338 3128.259 0 ==> <==
14.395 267752 328 3131.524 0 ==> <==
14.499 268074 322 3125 0 ==> <==
14.609 268437 363 3128.259 0 ==> <==
14.718 268756 319 3125 0 ==> <==
14.822 269082 326 3131.524 0 ==> <==
14.926 269423 341 3131.524 0 ==> <==
15.029 269717 294 3128.259 0 ==> <==
15.124 270030 313 3128.259 0 ==> <==
15.225 270352 322 3134.796 0 ==> <==
15.332 270696 344 3121.748 0 ==> <==
15.440 271040 344 3131.524 0 ==> <==
15.554 271375 335 3128.259 0 ==> <==
15.663 271734 359 3134.796 0 ==> <==
15.782 272113 379 3131.524 0 ==> <==
15.892 272454 341 3125 0 ==> <==
16.004 272770 316 3125 0 ==> <==
16.109 273099 329 3125 0 ==> <==
16.210 273440 341 3128.259 0 ==> <==
16.319 273849 409 3128.259 0 ==> <==
16.465 274278 429 3131.524 0 ==> <==
16.593 274653 375 3128.259 0 ==> <==
16.705 275019 366 3121.748 0 ==> <==
16.823 275351 332 3128.259 0 ==> <==
16.937 275705 354 3120.125 -0.103 ==> <==
17.046 276027 322 3128.259 0 ==> <==
17.153 276355 328 3128.259 0 ==> <==
17.248 276699 344 3131.524 0 ==> <==
17.364 277072 373 3128.259 0 ==> <==
17.484 277406 334 3128.259 0 ==> <==
17.586 277747 341 3128.259 0 ==> <==
17.702 278123 376 3128.259 0 ==> <==
17.819 278476 353 3128.259 0 ==> <==
17.944 278830 354 3125 0 ==> <==
18.053 279174 344 3134.796 0 ==> <==
18.153 279530 356 3128.259 0 ==> <==
18.271 279900 370 3125 0 ==> <==
18.386 280244 344 3131.524 0 ==> <==
18.501 280600 356 3128.259 0 ==> <==
18.607 280938 338 3128.259 0 ==> <==
18.721 281304 366 3134.796 0 ==> <==
18.833 281642 338 3131.524 0 ==> <==
18.941 281968 326 3125 0 ==> <==
19.042 282315 347 3128.259 0 ==> <==
19.154 282662 347 3128.259 0 ==> <==
19.262 282965 303 3121.748 0 ==> <==
19.358 283288 323 3128.259 0 ==> <==
19.467 283647 359 3128.259 0 ==> <==
19.580 283948 301 3128.259 0 ==> <==
19.690 284311 363 3134.796 0 ==> <==
19.793 284633 322 3128.259 0 ==> <==
19.897 284974 341 3128.259 0 ==> <==
20.014 285374 400 3134.796 0 ==> <==
20.133 285694 320 3129.89 0 ==> <==
20.239 286031 337 3121.748 0 ==> <==
20.339 286347 316 3125 0 ==> <==
20.455 286707 360 3128.259 0 ==> <==
20.559 287036 329 3125 0 ==> <==
20.670 287364 328 3125 0 ==> <==
20.772 287712 348 3129.89 0 ==> <==
20.882 288056 344 3127.443 0 ==> <==
20.988 288372 316 3134.796 0 ==> <==
21.093 288738 366 3129.89 0 ==> <==
21.207 289088 350 3125 0 ==> <==
21.321 289463 375 3128.259 0 ==> <==
21.441 289770 307 3128.259 0 ==> <==
21.544 290130 360 3131.524 0 ==> <==
21.656 290468 338 3121.748 0 ==> <==
21.765 290893 425 3125 0 ==> <==
21.906 291253 360 3134.796 0 ==> <==
22.016 291616 363 3125 0 ==> <==
22.132 291941 325 3134.796 0 ==> <==
22.236 292270 329 3128.259 0 ==> <==
22.340 292623 353 3125 0 ==> <==
22.461 293067 444 3134.796 0 ==> <==
22.588 293406 339 3127.443 0 ==> <==
22.702 293756 350 3134.796 0 ==> <==
22.814 294072 316 3131.524 0 ==> <==
22.914 294441 369 3134.796 0 ==> <==
23.027 294782 341 3128.259 0 ==> <==
23.149 295132 350 3134.796 0 ==> <==
23.252 295436 304 3128.259 0 ==> <==
23.347 295765 329 3129.89 0 ==> <==
23.457 296137 372 3131.524 0 ==> <==
23.571 296450 313 3131.524 0 ==> <==
23.670 296753 303 3131.524 0 ==> <==
23.769 297079 326 3127.443 0 ==> <==
23.873 297398 319 3131.524 0 ==> <==
23.982 297723 325 3125 0 ==> <==
24.079 298080 357 3128.259 0 ==> <==
24.197 298405 325 3128.259 0 ==> <==
24.293 298699 294 3131.524 0 ==> <==
24.399 299053 354 3128.259 0 ==> <==
24.504 299431 378 3128.259 0 ==> <==
24.623 299725 294 3125 0 ==> <==
24.737 300098 373 3128.259 0 ==> <==
24.836 300429 331 3128.259 0 ==> <==
24.950 300773 344 3128.259 0 ==> <==
25.068 301146 373 3128.259 0 ==> <==
25.182 301490 344 3128.259 0 ==> <==
25.291 301837 347 3128.259 0 ==> <==
25.398 302191 354 3128.259 0 ==> <==
25.511 302541 350 3121.748 0 ==> <==
25.627 302917 376 3121.748 0 ==> <==
25.742 303245 328 3128.259 0 ==> <==
25.857 303592 347 3128.259 0 ==> <==
25.958 303946 354 3131.524 0 ==> <==
26.075 304315 369 3128.259 0 ==> <==
26.194 304681 366 3131.524 0 ==> <==
26.300 305025 344 3128.259 0 ==> <==
26.425 305395 370 3131.524 0 ==> <==
26.538 305720 325 3128.259 0 ==> <==
26.651 306089 369 3128.259 0 ==> <==
26.757 306424 335 3125 0 ==> <==
26.869 306821 397 3128.259 0 ==> <==
26.995 307197 376 3128.259 0 ==> <==
27.135 307588 391 3126.628 0 ==> <==
27.228 307897 309 3131.524 0 ==> <==
27.330 308226 329 3128.259 0 ==> <==
27.451 308573 347 3131.524 0 ==> <==
27.570 308955 382 3134.796 0 ==> <==
27.671 309318 363 3128.259 0 ==> <==
27.783 309659 341 3128.259 0 ==> <==
27.898 309990 331 3125 0 ==> <==
28.018 310369 379 3128.259 0 ==> <==
28.118 310703 334 3134.796 0 ==> <==
28.230 311020 317 3132.341 0 ==> <==
28.326 311304 284 3125 0 ==> <==
28.428 311664 360 3128.259 0 ==> <==
28.550 312017 353 3131.524 0 ==> <==
28.655 312362 345 3122.56 0 ==> <==
28.755 312690 328 3128.259 0 ==> <==
28.862 313028 338 3128.259 0 ==> <==
28.965 313319 291 3128.259 0 ==> <==
29.065 313626 307 3127.443 0 ==> <==
29.158 313929 303 3125 0 ==> <==
29.265 314254 325 3128.259 0 ==> <==
29.375 314611 357 3121.748 0 ==> <==
29.488 314993 382 3122.56 0 ==> <==
29.598 315352 359 3128.259 0 ==> <==
29.723 315687 335 3131.524 0 ==> <==
29.831 316031 344 3125 0 ==> <==
29.932 316341 310 3128.259 0 ==> <==
30.033 316673 332 3125 0 ==> <==
30.137 317007 334 3128.259 0 ==> <==
30.238 317314 307 3128.259 0 ==> <==
30.338 317633 319 3128.259 0 ==> <==
30.444 317952 319 3128.259 0 ==> <==
30.555 318296 344 3128.259 0 ==> <==
30.654 318622 326 3127.443 0 ==> <==
30.759 318969 347 3128.259 0 ==> <==
30.876 319291 322 3128.259 0 ==> <==
30.986 319638 347 3128.259 0 ==> <==
31.083 319973 335 3128.259 0 ==> <==
31.194 320308 335 3125 0 ==> <==
31.312 320664 356 3128.259 0 ==> <==
31.414 320977 313 3128.259 0 ==> <==
31.514 321287 310 3128.259 0 ==> <==
31.621 321622 335 3128.259 0 ==> <==
31.735 322000 378 3128.259 0 ==> <==
31.846 322338 338 3131.524 0 ==> <==
31.944 322654 316 3131.524 0 ==> <==
32.045 322958 304 3134.796 0 ==> <==
32.148 323305 347 3121.748 0 ==> <==
32.270 323724 419 3128.259 0 ==> <==
32.385 324037 313 3128.259 0 ==> <==
32.499 324397 360 3134.796 0 ==> <==
32.609 324769 372 3131.524 0 ==> <==
32.736 325144 375 3128.259 0 ==> <==
32.852 325542 398 3128.259 0 ==> <==
32.975 325886 344 3128.259 0 ==> <==
33.095 326239 353 3125 0 ==> <==
33.192 326543 304 3128.259 0 ==> <==
33.293 326881 338 3128.259 0 ==> <==
33.398 327178 297 3125 0 ==> <==
33.497 327500 322 3125 0 ==> <==
33.604 327872 372 3125 0 ==> <==
33.713 328204 332 3128.259 0 ==> <==
33.838 328567 363 3131.524 0 ==> <==
33.948 328917 350 3128.259 0 ==> <==
34.050 329268 351 3128.259 0 ==> <==
34.168 329621 353 3121.748 0 ==> <==
34.282 329987 366 3128.259 0 ==> <==
34.404 330334 347 3128.259 0 ==> <==
34.503 330666 332 3126.628 0 ==> <==
34.611 331010 344 3128.259 0 ==> <==
34.722 331336 326 3134.796 0 ==> <==
34.837 331698 362 3128.259 0 ==> <==
34.936 331999 301 3125 0 ==> <==
35.032 332305 306 3121.748 0 ==> <==
35.131 332612 307 3128.259 0 ==> <==
35.240 332947 335 3128.259 0 ==> <==
35.345 333325 378 3128.259 0 ==> <==
35.465 333722 397 3131.524 0 ==> <==
35.592 334060 338 3121.748 0 ==> <==
35.698 334386 326 3131.524 0 ==> <==
35.796 334714 328 3134.796 0 ==> <==
35.904 335027 313 3134.796 0 ==> <==
36.000 335324 297 3128.259 0 ==> <==
36.102 335684 360 3121.748 0 ==> <==
36.219 336044 360 3128.259 0 ==> <==
36.340 336397 353 3128.259 0 ==> <==
